PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
49	PERSON	Tom	affair;majesty;rage;miller;state;hold;custody;creature	little;much;terrible;pygmy	be;engage;run;send;keep;torment;lay;fall;provoke;order;take	5.23076923077	4.47615384615	5.31923076923	The miller, who was very much provoked at being tormented by such a little pygmy creature, fell into a terrible rage, and, laying hold of Tom, ran to the king with him; but his majesty, being engaged with state affairs, ordered him to be taken away and kept in custody till he sent for him.
49	PERSON	the king	affair;majesty;rage;miller;state;hold;custody;creature	little;much;terrible;pygmy	be;engage;run;send;keep;torment;lay;fall;provoke;order;take	5.23076923077	4.47615384615	5.31923076923	The miller, who was very much provoked at being tormented by such a little pygmy creature, fell into a terrible rage, and, laying hold of Tom, ran to the king with him; but his majesty, being engaged with state affairs, ordered him to be taken away and kept in custody till he sent for him.
50	PERSON	Tom	knight;batter-pudding;majesty;miller;inside;s;suit;furmenty;fish;clothes	new	be;mount;suffer;order;have	5.73933333333	4.08866666667	5.53533333333	As Tom"s clothes had suffered much in the batter-pudding, the furmenty, and the insides of the giant, miller, and fishes, his majesty ordered him a new suit of clothes, and to be mounted as a knight.
50	PERSON	the giant	knight;batter-pudding;majesty;miller;inside;s;suit;furmenty;fish;clothes	new	be;mount;suffer;order;have	5.73933333333	4.08866666667	5.53533333333	As Tom"s clothes had suffered much in the batter-pudding, the furmenty, and the insides of the giant, miller, and fishes, his majesty ordered him a new suit of clothes, and to be mounted as a knight.
60	PERSON	Tom	pride	stately	strut	5.71666666667	4.7	5.83	Thus strutted Tom in stately pride!"
61	PERSON	Tom	mouse;a-hunting;charger;dress;laughter;nobility	ready;fine	be;ride;see;expire;prance;divert;mount	5.83625	4.185625	5.533125	It was certainly very diverting to see Tom in this dress, and mounted on the mouse, as he rode out a-hunting with the king and nobility, who were all ready to expire with laughter at Tom and his fine prancing charger.
61	PERSON	the king	mouse;a-hunting;charger;dress;laughter;nobility	ready;fine	be;ride;see;expire;prance;divert;mount	5.83625	4.185625	5.533125	It was certainly very diverting to see Tom in this dress, and mounted on the mouse, as he rode out a-hunting with the king and nobility, who were all ready to expire with laughter at Tom and his fine prancing charger.
61	PERSON	Tom	mouse;a-hunting;charger;dress;laughter;nobility	ready;fine	be;ride;see;expire;prance;divert;mount	5.83625	4.185625	5.533125	It was certainly very diverting to see Tom in this dress, and mounted on the mouse, as he rode out a-hunting with the king and nobility, who were all ready to expire with laughter at Tom and his fine prancing charger.
62	PERSON	Tom	noble;ivory;hat;tree;bed;cat;sword;cabinet;mouse	little	be;begin;run;draw;attack;devour;let;lay;catch	5.66458333333	4.0625	5.44916666667	She then ran up a tree with them, and was beginning to devour the mouse; but Tom boldly drew his sword, and attacked the cat so fiercely that she let them both fall, when one of the nobles caught him in his hat, and laid him on a bed of down, in a little ivory cabinet.
63	PERSON	Tom			answer	6.1	4.0	5.95	Tom answered:
